System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
CoRoT-06,TEP,281.07250,6.66317,13.91,12.12,0.170,1.5,2454826.66625,0.00054,8.8866210,0.0000063,6090,70,70,-0.20,0.10,0.10,1.054,0.063,0.063,1.043,0.030,0.030,4.425,0.022,0.022,0.929,0.064,0.064,0.0,-1,-1,0.0855,0.0017,0.0017,2.96,0.34,0.34,1.185,0.041,0.041,52.3,6.4,6.4,1.66,0.23,0.23,1025,16,16,-999,-999,-999,-999,-999,-999
CoRoT-07,TEP,100.95613,-1.06303,11.72,9.81,0.04413,0.034,2454398.07756,0.00059,0.85359159,0.00000057,5313,73,73,+0.03,0.07,0.07,0.884,0.029,0.032,0.8389,0.0093,0.0088,4.573,0.011,0.011,1.49,0.12,0.13,0.0,0.32,0.0,0.01702,0.00017,0.00004,0.0145,0.0035,0.0038,0.141,0.009,0.009,21.5,3.5,3.0,4.9,2.1,2.3,1756,27,27,-999,-999,-999,-999,-999,-999
CoRoT-08,TEP,291.58850,1.42644,14.76,11.46,0.114,0.7,2454239.03317,0.00049,6.212445,0.000007,5080,80,80,+0.31,0.05,0.05,0.89,0.04,0.04,0.802,0.014,0.014,4.58,0.01,0.01,1.73,0.26,0.26,0.0,-1,-1,0.0636,0.0014,0.0014,0.218,0.034,0.034,0.619,0.016,0.017,14.1,2.5,2.1,0.86,0.15,0.15,870,14,14,-999,-999,-999,-999,-999,-999
CoRoT-09,TEP,280.78671,6.20422,13.69,11.69,0.337,1.6,2455365.52723,0.00037,95.272656,0.000068,5613,36,36,-0.02,0.03,0.03,0.96,0.04,0.04,0.96,0.06,0.06,4.476,0.063,0.063,1.07,0.21,0.21,0.133,0.042,0.037,0.4021,0.0054,0.0054,0.84,0.05,0.05,1.066,0.075,0.063,18.2,2.7,2.3,0.65,0.14,0.12,420,16,16,-999,-999,-999,-999,-999,-999
CoRoT-10,TEP,291.06371,0.74614,15.22,11.78,0.124,1.4,2454273.3436,0.0012,13.2406,0.0002,5075,75,75,+0.26,0.07,0.07,0.904,0.034,0.034,0.743,0.055,0.055,4.652,0.062,0.062,2.20,0.47,0.47,0.53,0.04,0.04,0.1060,0.0014,0.0014,2.78,0.14,0.14,0.941,0.085,0.085,78,14,14,3.13,0.88,0.88,647,24,24,-999,-999,-999,-999,-999,-999
CoRoT-11,TEP,280.68729,5.93769,12.80,11.25,0.104,1.2,2454690.49838,0.00016,2.994325,0.000021,6343,72,72,+0.04,0.03,0.03,1.26,0.14,0.14,1.374,0.061,0.061,4.264,0.019,0.019,0.488,0.022,0.022,0.0,-1,-1,0.0440,0.0016,0.0016,2.34,0.39,0.39,1.426,0.057,0.057,28.5,4.2,4.2,0.76,0.12,0.12,1735,34,34,0.1,2.6,2.6,-999,-999,-999
CoRoT-12,TEP,100.76567,-1.29642,15.52,13.56,0.10726,1.9,2454398.62771,0.00024,2.82805268,0.00000065,5675,80,80,+0.16,0.10,0.10,1.00,0.10,0.10,1.049,0.049,0.047,4.396,0.032,0.030,0.866,0.084,0.078,0.0,-1,-1,0.0392,0.0013,0.0013,0.873,0.081,0.078,1.344,0.074,0.071,12.0,1.4,1.2,0.337,0.064,0.062,1417,20,20,-999,-999,-999,-999,-999,-999
CoRoT-13,TEP,102.72113,-5.08642,15.04,13.38,0.1308,1.0,2454790.8105,002306,4.0350906,0.0000055,5945,90,90,+0.01,0.07,0.07,1.086,0.084,0.084,1.274,0.078,0.078,4.264,0.040,0.040,0.526,0.072,0.072,0.0,-1,-1,0.0510,0.0013,0.0013,1.312,0.096,0.096,1.252,0.076,0.076,20.7,2.5,2.5,0.62,0.11,0.11,1432,39,39,-999,-999,-999,-999,-999,-999
CoRoT-14,TEP,103.42417,-5.53603,16.03,13.81,0.0693,0.75,2454787.6694,0.0053,1.51214,0.00013,6035,100,100,+0.05,0.15,0.15,1.125,0.099,0.099,1.19,0.14,0.14,4.338,0.082,0.082,0.67,0.19,0.19,0.0,-1,-1,0.02687,0.00078,0.00078,7.67,0.49,0.49,1.018,0.079,0.079,183,27,27,6.8,1.5,1.5,1936,95,95,-999,-999,-999,-999,-999,-999
CoRoT-15,BD,97.11592,6.18625,15.5,13.39,0.135,0.68,2454753.5608,0.0011,3.06036,0.00003,6350,200,200,+0.1,0.2,0.2,1.31,0.16,0.19,1.36,0.39,0.12,4.288,0.059,0.191,0.52,0.12,0.25,0.0,-1,-1,0.0458,0.0018,0.0022,64.9,5.45,6.28,1.045,0.347,0.091,1470,240,620,53,13,29,1670,200,80,-999,-999,-999,-999,-999,-999
CoRoT-16,TEP,278.52471,-6.00258,15.63,12.85,0.122,0.9,2454923.9138,0.0022,5.35227,0.00020,5650,100,100,+0.19,0.06,0.06,1.098,0.082,0.078,1.19,0.14,0.13,4.36,0.1,0.1,0.66,0.23,0.17,0.33,0.09,0.10,0.0618,0.0015,0.0015,0.535,0.085,0.083,1.17,0.16,0.14,-1,-1,-1,0.33,0.16,0.11,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-17,TEP,278.69925,-6.61222,15.46,12.47,0.197,0.44,2454923.3093,0.0036,3.7681,0.0003,5740,80,80,+0.0,0.1,0.1,1.043,0.074,0.046,1.62,0.47,0.13,4.035,0.069,0.208,0.243,0.066,0.126,0.0,-1,-1,0.04810,0.00111,0.00072,2.46,0.26,0.24,1.007,0.345,0.092,60,13,27,2.26,0.77,1.35,1610,210,70,-999,-999,-999,-999,-999,-999
CoRoT-18,TEP,98.17233,-0.03158,15.00,13.01,0.0995,2.0,2455321.72565,0.00024,1.9000900,0.0000005,5440,100,100,-0.1,0.1,0.1,0.88,0.07,0.07,0.883,0.025,0.031,4.491,0.015,0.023,1.28,0.04,0.09,0.0,-1,-1,0.0288,0.0008,0.0008,3.30,0.19,0.19,1.146,0.039,0.048,61.7,3.1,4.2,2.06,0.24,0.29,1487,19,19,-10,20,20,20,20,20
CoRoT-19,TEP,97.03350,-0.17067,14.01,11.84,0.196,0.79,2455257.44102,0.00060,3.89713,0.00002,6090,70,70,-0.02,0.10,0.10,1.181,0.127,0.077,1.576,0.354,0.096,4.115,0.047,0.152,0.302,0.049,0.125,0.0,-1,-1,0.0512,0.0018,0.0011,1.090,0.093,0.078,1.190,0.260,0.069,19.1,2.4,6.2,0.60,0.11,0.27,1630,150,40,-52,27,22,-999,-999,-999
CoRoT-20,TEP,97.72042,0.22692,14.66,12.51,0.0927,0.9,2455266.0006,0.0012,9.2431839,0.0000072,5880,90,90,+0.14,0.12,0.12,1.10,0.10,0.10,1.16,0.15,0.20,4.35,0.11,0.14,0.71,0.26,0.35,0.59,0.02,0.02,0.0891,0.0038,0.0038,4.14,0.36,0.30,1.00,0.18,0.21,102,42,35,3.9,2.1,2.4,1024,16,16,-999,-999,-999,-999,-999,-999
CoRoT-21,TEP,101.05246,-0.29914,16.00,13.81,0.198,0.5,2454399.0282,0.0009,2.72474,0.00014,6200,100,100,+0.0,0.1,0.1,1.39,0.09,0.09,1.95,0.21,0.21,3.7,0.1,0.1,0.181,0.060,0.060,0.0,-1,-1,0.0417,0.0011,0.0011,2.26,0.33,0.33,1.27,0.14,0.14,-1,-1,-1,1.03,0.36,0.36,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-22,TEP,280.66717,6.21925,13.94,11.99,0.187,0.2,2454598.42014,0.00075,9.75598,0.00011,5939,54,120,+0.170,0.070,0.12,1.099,0.049,0.049,1.136,0.038,0.090,4.361,0.065,0.029,0.729,0.19,0.071,0.0,0.78,0.0,0.0920,0.0014,0.0014,0.0,0.15,0.0,0.435,0.015,0.035,-1,-1,-1,-1,-1,-1,885,53,280,-999,-999,-999,-999,-999,-999
CoRoT-23,TEP,279.78258,4.35781,15.63,12.36,0.1620,0.45,2455308.939,0.001,3.6313,0.0001,5900,100,100,+0.05,0.1,0.1,1.122,0.092,0.072,1.74,0.26,0.16,4.008,0.076,0.107,0.214,0.064,0.066,0.16,0.02,0.02,0.04809,0.00128,0.00104,3.06,0.32,0.30,1.18,0.19,0.11,54,12,14,1.75,0.63,0.64,1710,110,80,-999,-999,-999,-999,-999,-999
CoRoT-24b,TEP,101.92254,-3.71931,13.2,12.92,0.119,0.024,2454789.611,0.006,5.1134,0.0006,4950,150,150,+0.30,0.15,0.15,0.91,0.09,0.09,0.86,0.09,0.09,4.55,0.15,0.15,0.85,0.13,0.13,0.0,-1,-1,0.056,0.002,0.002,0.0,0.018,0.0,0.33,0.04,0.04,-1,-1,-1,0.0,0.68,0.0,1070,140,140,-999,-999,-999,-999,-999,-999
CoRoT-24c,TEP,101.92254,-3.71931,13.2,12.92,0.20,0.013,2454795.380,0.027,11.7594,0.0063,4950,150,150,+0.30,0.15,0.15,0.91,0.09,0.09,0.86,0.09,0.09,4.55,0.15,0.15,0.85,0.13,0.13,0.0,-1,-1,0.098,0.003,0.003,0.088,0.035,0.035,0.44,0.04,0.04,-1,-1,-1,0.98,0.38,0.30,850,80,80,-999,-999,-999,-999,-999,-999
CoRoT-25,TEP,280.62971,6.51389,14.97,12.85,0.080,0.5,2454576.2156,0.0008,4.86069,0.00006,6040,90,90,-0.01,0.13,0.13,1.09,0.11,0.05,1.19,0.14,0.03,4.31,0.05,0.08,0.85,0.09,0.05,0.0,-1,-1,0.0578,0.0020,0.0009,0.37,0.04,0.04,1.08,0.3,0.10,5.7,1.7,1.9,0.12,0.12,0.05,1330,80,40,-999,-999,-999,-999,-999,-999
CoRoT-26,TEP,279.75054,6.96992,15.76,13.26,0.228,0.6,2454573.6299,0.0008,4.20474,0.00005,5590,100,100,+0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.18,0.09,3.99,0.05,0.08,0.573,0.006,0.04,0.0,-1,-1,0.0526,0.0010,0.0010,0.52,0.05,0.05,1.26,0.13,0.07,7.8,1.6,1.5,0.23,0.07,0.06,1600,80,70,-999,-999,-999,-999,-999,-999
CoRoT-27,TEP,278.49583,5.53847,15.54,12.98,0.115,1.0,2455748.684,0.001,3.57532,0.00006,5900,120,120,+0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.18,0.06,4.4,0.1,0.1,0.97,0.10,0.08,0.0,0.065,0.0,0.0476,0.0066,0.0066,10.39,0.55,0.55,1.007,0.044,0.044,-1,-1,-1,9.50,1.45,1.26,1500,130,130,-999,-999,-999,-999,-999,-999
CoRoT-28,TEP,278.68838,5.57381,13.78,11.03,0.238,0.3,2455755.8466,0.0029,5.20851,0.00038,5150,100,100,+0.15,0.10,0.10,1.01,0.14,0.14,1.78,0.11,0.11,3.94,0.12,0.12,0.191,0.004,0.004,0.047,0.055,0.038,0.0590,0.0027,0.0027,0.484,0.087,0.087,0.955,0.066,0.066,13.2,5.0,3.6,0.52,0.20,0.20,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-29,TEP,278.90208,6.47972,15.56,13.05,0.0913,0.6,2456870.53809,0.00075,2.8505615,0.0000072,5260,100,100,+0.20,0.10,0.10,0.97,0.14,0.14,0.90,0.12,0.12,4.52,0.19,0.19,1.29,0.03,0.03,0.082,0.081,0.081,0.0390,0.0020,0.0020,0.85,0.20,0.20,0.90,0.16,0.16,26,14,9,1.09,0.56,0.56,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-30,TEP,277.60108,6.83594,15.27,13.56,0.16,1.4,2455665.5146,0.0012,9.06005,0.00024,5650,100,100,+0.02,0.10,0.10,0.98,0.03,0.05,0.91,0.09,0.03,4.40,0.10,0.10,-1,-1,-1,0.007,0.031,0.031,0.0844,0.0012,0.0012,2.90,0.22,0.22,1.009,0.076,0.076,-1,-1,-1,2.60,0.49,0.49,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-31,TEP,94.82075,-4.42228,15.06,13.43,0.15,0.5,2455843.9445,0.0044,4.62941,0.00075,5700,120,120,+0.00,0.10,0.10,1.25,0.22,0.21,2.15,0.56,0.66,3.85,0.25,0.25,-1,-1,-1,0.02,0.16,0.16,0.0586,0.0034,0.0034,0.84,0.34,0.34,1.46,0.30,0.30,-1,-1,-1,0.25,0.14,0.14,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-32,TEP,100.19517,9.25744,14.47,12.19,0.104,0.29,2455901.811,0.002,6.71837,0.00001,5970,100,100,+0.0,0.2,0.2,1.08,0.08,0.07,0.79,0.08,0.09,4.67,0.11,0.08,-1,-1,-1,0.0,-1,-1,0.071,0.001,0.001,0.15,0.10,0.10,0.57,0.06,0.05,13,38,6,0.8,1.0,0.6,938,65,52,-999,-999,-999,-999,-999,-999
CoRoT-33,BD,279.64129,5.62472,14.89,12.71,0.058,0.28,2456676.3992,0.0037,5.819143,0.000018,5225,80,80,+0.44,0.10,0.10,0.86,0.04,0.04,0.94,0.14,0.08,4.4,0.1,0.1,-1,-1,-1,0.0700,0.0016,0.0016,0.0579,-1,-1,59.0,1.8,1.7,1.10,0.53,0.53,-1,-1,-1,41,22,22,-1,-1,-1,-999,-999,-999,-999,-999,-999
DS_Tuc,TEP,354.91450,-69.19575,8.23,6.68,0.13,0.4,2458332.30926,0.00037,8.138268,0.000011,5598,28,59,-0.08,0.06,0.06,0.959,0.031,0.031,0.872,0.027,0.027,4.60,0.15,0.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0453,0.0,0.50,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.93,0.88,0.87,-999,-999,-999
EPIC_201170410,TEP,170.14087,-4.80700,16.44,12.86,0.077,0.14,2456813.1485,0.0006,6.7987,0.0001,3648,172,143,-0.05,0.15,0.21,0.287,0.101,0.084,0.282,0.074,0.069,4.999,0.075,0.075,-1,-1,-1,0.0,-1,-1,0.0349,0.0027,0.0022,-1,-1,-1,0.094,0.025,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_201295312,TEP,174.01163,-2.52089,12.19,10.69,0.19,0.03,2456811.7191,0.0049,5.65639,0.00075,5830,70,70,+0.13,0.07,0.07,1.13,0.07,0.07,1.52,0.10,0.10,4.04,0.08,0.08,0.32,0.10,0.10,0.12,0.22,0.09,-1,-1,-1,0.0,0.038,0.0,0.245,0.021,0.020,-1,-1,-1,0.0,2.5,0.0,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_201702477,BD,175.24071,3.68153,14.57,12.77,0.168,0.6,2456811.5462,0.0011,40.73691,0.00037,5492,60,60,-0.20,0.04,0.04,0.870,0.031,0.031,0.901,0.057,0.057,4.466,0.058,0.058,1.18,0.24,0.24,0.2281,0.0026,0.0026,0.757,0.065,0.065,66.9,1.7,1.7,0.757,0.065,0.065,-1,-1,-1,144,38,38,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_201757695,TEP,173.93850,4.61644,15.02,12.15,0.076,0.02,2456811.6370,0.0008,2.0478,0.0001,4520,108,54,+0.00,0.12,0.30,0.727,0.044,0.053,0.655,0.041,0.045,4.659,0.035,0.025,-1,-1,-1,0.0,-1,-1,0.0296,0.0005,0.0005,-1,-1,-1,0.0810,0.0053,0.0057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_201498078,TEP,163.03242,0.49336,10.61,8.89,0.23,0.3,2457906.83957,0.00049,11.63365,0.00010,5513,51,51,+0.26,0.03,0.03,1.104,0.020,0.018,1.669,0.022,0.021,4.032,0.015,0.015,-1,-1,-1,0.42,0.03,0.03,0.10376,0.00043,0.00051,0.179,0.020,0.020,0.840,0.011,0.011,-1,-1,-1,0.28,0.04,0.04,1066,11,13,-999,-999,-999,-999,-999,-999
EPIC_210363145,TEP,55.22842,12.57261,12.16,9.80,0.109,0.1,2457070.8060,0.0018,8.19980,0.00070,4970,45,45,+0.29,0.06,0.06,0.80,0.12,0.12,0.76,0.03,0.03,4.47,0.13,0.13,1.8,0.3,0.3,0.14,0.22,0.09,-1,-1,-1,0.0,1.9,0.0,0.205,0.014,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_211418729,TEP,127.88296,11.73894,14.57,12.30,0.1627,1.6,2457174.49729,0.00033,11.39109,0.00018,5014,60,60,+0.41,0.04,0.04,0.832,0.021,0.018,0.828,0.026,0.022,4.481,0.044,0.051,1.30,0.23,0.21,0.0,-1,-1,0.09309,0.00066,0.00059,1.85,0.23,0.22,0.942,0.032,0.020,-1,-1,-1,2.25,0.35,0.34,719,15,11,-999,-999,-999,-999,-999,-999
EPIC_211442297,TEP,126.55346,12.28194,13.34,11.72,0.1679,1.7,2457157.15701,0.00025,20.273034,0.000036,5544,60,60,-0.23,0.04,0.04,0.831,0.023,0.019,0.881,0.049,0.050,4.461,0.057,0.041,1.01,0.31,0.20,0.137,0.072,0.074,0.1367,0.0012,0.0010,0.84,0.18,0.20,1.114,0.057,0.061,-1,-1,-1,0.62,0.23,0.18,682,22,24,-999,-999,-999,-999,-999,-999
EPIC_211682544,TEP,129.68242,15.68067,11.61,9.75,0.1453,0.06,2458111.1274,0.0012,50.818947,0.000094,5372,73,73,-0.08,0.05,0.05,0.88,0.03,0.03,0.85,0.02,0.02,4.45,0.10,0.10,1.43,0.11,0.11,0.0,0.14,0.0,0.2573,0.0029,0.0029,0.0466,0.0098,0.0098,0.215,0.011,0.011,25.1,6.5,5.6,4.3,1.2,1.1,470,10,10,-999,-999,-999,-999,-999,-999
EPIC_211916756,TEP,129.36275,18.97669,17.27,12.47,0.110,0.07,2457140.74073,0.00208,10.13510,0.00050,3410,65,65,-1,-1,-1,0.43,0.02,0.02,0.44,0.02,0.02,-1,-1,-1,5.16,0.77,0.67,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.33,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_211945201,TEP,136.57396,19.40225,10.15,8.84,0.163,0.15,2458113.93994,0.00039,19.49213,0.00001,6025,100,100,+0.1,0.1,0.1,1.18,0.03,0.04,1.38,0.017,0.018,4.25,0.1,0.1,0.45,0.03,0.02,0.0,-1,-1,0.148,0.004,0.004,0.085,0.044,0.040,0.55,0.09,0.09,6.9,3.6,3.2,0.49,0.26,0.23,886,17,17,-999,-999,-999,-999,-999,-999
EPIC_211964830b,TEP,131.35854,19.69847,16.55,12.18,0.078,0.2,2458102.09356,0.00046,5.839770,0.000062,3580,70,70,+0.12,0.04,0.04,0.471,0.012,0.021,0.473,0.014,0.014,-1,-1,-1,4.5,0.4,0.4,0.0,0.50,0.0,-1,-1,-1,-1,-1,-1,0.203,0.018,0.013,-1,-1,-1,-1,-1,-1,489,12,13,-999,-999,-999,-999,-999,-999
EPIC_211964830c,TEP,131.35854,19.69847,16.55,12.18,0.122,0.3,2458096.93729,0.00074,19.66365,0.00030,3580,70,70,+0.12,0.04,0.04,0.471,0.012,0.021,0.473,0.014,0.014,-1,-1,-1,4.5,0.4,0.4,0.0,0.45,0.0,-1,-1,-1,-1,-1,-1,0.247,0.018,0.016,-1,-1,-1,-1,-1,-1,326,8,9,-999,-999,-999,-999,-999,-999
EPIC_212036875,BD,134.69029,20.86908,10.95,9.77,0.08911,0.3,2458140.03846,0.00016,5.169884,0.000027,6231,51,50,-0.23,0.10,0.10,1.12,0.10,0.11,1.401,0.059,0.059,4.193,0.025,0.024,0.406,0.038,0.028,0.1325,0.0043,0.0043,0.0621,0.0016,0.0020,47.8,2.6,3.1,0.819,0.033,0.035,1758,104,83,80.6,7.5,6.3,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_212737443b,TEP,204.22171,-7.31814,14.84,12.16,0.124,0.15,2457234.970,0.004,13.6030,0.0013,4542,149,298,-0.47,0.30,0.25,0.615,0.049,0.089,0.570,0.054,0.095,4.708,0.088,0.040,2.28,1.06,0.36,0.3,0.1,0.1,0.098,0.004,0.004,0.029,0.008,0.008,0.231,0.011,0.011,-1,-1,-1,-1,-1,-1,536,18,18,-999,-999,-999,-999,-999,-999
EPIC_212737443c,TEP,204.22171,-7.31814,14.84,12.16,0.192,0.16,2457227.790,0.005,65.5500,0.0089,4542,149,298,-0.47,0.30,0.25,0.615,0.049,0.089,0.570,0.054,0.095,4.708,0.088,0.040,2.28,1.06,0.36,0.3,0.1,0.1,0.280,0.006,0.006,0.030,0.008,0.008,0.240,0.013,0.013,-1,-1,-1,-1,-1,-1,316,10,10,-999,-999,-999,-999,-999,-999
EPIC_219388192,BD,289.39183,-16.87161,12.54,10.73,0.1261,1.0,2457346.329908,0.000080,5.292600,0.000018,5719,49,49,+0.021,0.096,0.094,0.967,0.059,0.065,0.938,0.023,0.023,4.483,0.012,0.015,1.177,0.026,0.047,0.1893,0.0021,0.0021,0.0593,0.0012,0.0013,36.0,1.6,1.6,0.846,0.021,0.021,1254,18,34,56.1,1.9,2.5,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_220501947,TEP,19.60992,6.81686,13.95,11.14,0.1042,2.2,2457395.414046,0.000002,4.024866,0.000014,4444,70,70,+0.14,0.12,0.12,0.74,0.04,0.04,0.71,0.04,0.04,-1,-1,-1,-1,-1,-1,0.0,-1,-1,0.0467,0.0007,0.0017,0.336,0.012,0.012,0.947,0.012,0.005,-1,-1,-1,0.394,0.019,0.019,850,16,7,-999,-999,-999,-999,-999,-999
EPIC_246067459,TEP,347.70433,-7.85750,13.75,12.03,0.16,0.7,2457740.5036,0.0004,3.20466,0.00003,5630,78,78,+0.34,0.04,0.04,1.19,0.08,0.08,1.59,0.16,0.16,4.11,0.07,0.07,0.0550,0.0003,0.0002,0.0,-1,-1,0.046,0.007,0.006,0.86,0.13,0.12,1.30,0.15,0.14,-1,-1,-1,0.42,0.19,0.12,1587,75,76,-999,-999,-999,-999,-999,-999
EPIC_246193072,TEP,351.13538,-5.16414,12.70,10.67,0.1509,1.1,2457773.157267,0.000075,12.4551225,0.0000031,5282,40,39,+0.098,0.065,0.070,0.901,0.048,0.049,0.822,0.026,0.024,4.566,0.013,0.021,1.63,0.09,0.11,0.070,0.041,0.040,0.1016,0.0018,0.0019,0.260,0.020,0.022,0.774,0.026,0.024,-1,-1,-1,0.523,0.015,0.017,650,53,70,-999,-999,-999,-999,-999,-999
